customer_id,customer_name,email,phone,city,state,registration_date,status
C0078,Customer 078,customer078@example.com,9000000078,Coimbatore,Tamil Nadu,2026-04-18,INACTIVE
C0079,Customer 079,customer079@example.com,9000000079,Madurai,Tamil Nadu,2025-02-15,ACTIVE
C0080,Customer 080,customer080@example.com,9000000080,Chennai,Tamil Nadu,2025-04-28,INACTIVE
C0081,Customer 081,customer081@example.com,9000000081,Chennai,Tamil Nadu,2026-01-31,INACTIVE
C0082,Customer 082,customer082@example.com,9000000082,Madurai,Tamil Nadu,2025-07-10,INACTIVE
C0083,Customer 083,customer083@example.com,9000000083,Coimbatore,Tamil Nadu,2025-09-07,INACTIVE
C0084,Customer 084,customer084@example.com,9000000084,Salem,Tamil Nadu,2025-08-19,ACTIVE
C0085,Customer 085,customer085@example.com,9000000085,Salem,Tamil Nadu,2025-08-04,ACTIVE
C0086,Customer 086,customer086@example.com,9000000086,Trichy,Tamil Nadu,2026-04-24,ACTIVE
C0087,Customer 087,customer087@example.com,9000000087,Salem,Tamil Nadu,2025-12-07,ACTIVE
C0088,Customer 088,customer088@example.com,9000000088,Coimbatore,Tamil Nadu,2026-03-01,INACTIVE
C0089,Customer 089,customer089@example.com,9000000089,Madurai,Tamil Nadu,2025-05-23,ACTIVE
C0090,Customer 090,customer090@example.com,9000000090,Trichy,Tamil Nadu,2025-05-07,ACTIVE
C0091,Customer 091,customer091@example.com,9000000091,Chennai,Tamil Nadu,2025-04-23,INACTIVE
C0092,Customer 092,customer092@example.com,9000000092,Coimbatore,Tamil Nadu,2026-05-11,ACTIVE
C0093,Customer 093,customer093@example.com,9000000093,Coimbatore,Tamil Nadu,2025-07-21,ACTIVE
C0094,Customer 094,customer094@example.com,9000000094,Madurai,Tamil Nadu,2026-02-28,ACTIVE
C0095,Customer 095,customer095@example.com,9000000095,Salem,Tamil Nadu,2025-04-07,ACTIVE
C0096,Customer 096,customer096@example.com,9000000096,Chennai,Tamil Nadu,2025-09-19,ACTIVE
C0097,Customer 097,customer097@example.com,9000000097,Chennai,Tamil Nadu,2025-06-09,ACTIVE
C0098,Customer 098,customer098@example.com,9000000098,Coimbatore,Tamil Nadu,2026-05-08,ACTIVE
C0099,Customer 099,customer099@example.com,9000000099,Salem,Tamil Nadu,2025-04-14,ACTIVE
C0100,Customer 100,customer100@example.com,9000000100,Chennai,Tamil Nadu,2025-02-09,ACTIVE
